ID,IDF_num,name,Enlistment_Date_,Rank
18894026,423782,Rabbi,2003-08-05,Rav Turai
111331288,545670,Brittani,2008-09-24,Turai
872205343,981220,Brose,1986-03-30,Rav Samal Rishon
708338623,264985,Cherilyn,2018-06-24,Rav Aluf
694965433,474798,Lelia,1983-07-29,Turai Rishon
461999971,334093,Joannes,1985-10-19,Rav Samal Rishon
508353292,286498,Vanda,2001-03-27,Rav Samal
899588610,132137,Tabbi,2012-11-08,Rav Aluf
934269879,375547,Jobie,1981-06-27,Aluf Mishne
123564850,800088,Herman,2023-09-23,Rav Seren
249443272,42273,Lothaire,1986-02-11,Sgan Aluf
809069260,918992,Fair,2016-06-26,Turai Rishon
728544897,292984,Sharity,1995-08-23,Rav Seren
129591888,267249,Shannon,2019-01-27,Aluf
668266795,149178,Jorrie,2011-12-02,Sgan Aluf
769472733,218324,Delainey,1989-06-10,Segen Mishneh
607059069,512097,Donni,2007-08-18,Rav Turai
970737605,127090,Murvyn,2014-07-06,Rav Aluf
197190833,249078,Junia,1984-11-13,Rav Turai
665115654,547645,Elena,1992-05-16,Tat Aluf
790271554,22617,Agnes,1986-06-17,Seren
168124419,728670,Vassili,2016-10-12,Sgan Aluf
56069798,288044,Elaina,1999-01-09,Rav Turai
827096050,96937,Lavinie,2013-11-01,Samal
129663591,195724,Tibold,1989-05-11,Aluf
34722088,186812,Orly,1987-10-23,Tat Aluf
68839870,969157,Ileana,2022-02-12,Samal Rishon
382652351,154240,Hedvig,1995-07-15,Rav Turai
796826082,96690,Trula,1993-08-21,Rav Samal
884100519,567862,Peg,1998-01-20,Rav Samal Mitkadem
518311081,543607,Bobbie,2003-04-20,Segen
162096332,817094,Gui,1985-01-13,Seren
403413591,582955,Carol,2013-01-31,Rav Turai
993265561,485304,Walton,2021-08-05,Aluf Mishne
907418891,72636,Corrie,1985-10-25,Rav Seren
717196325,550413,Teodoro,1987-08-30,Rav Seren
95198325,113805,Rudolph,2018-01-03,Turai Rishon
674388677,181577,Yolanthe,2023-08-14,Rav Samal Mitkadem
385937842,796134,Ivie,2013-03-31,Turai
826717808,593897,Janetta,2001-06-05,Samal
38057264,87030,Hirsch,2023-01-02,Samal Rishon
170946202,926361,Conroy,1998-01-25,Segen Rishon
39531344,26773,Callie,2014-04-12,Seren
377690437,571459,Goldia,1995-04-27,Segen Mishneh
305312388,186614,Cale,2022-09-22,Segen
295528732,660607,Cordula,1993-07-08,Rav Seren
113224706,966691,Matthias,2007-12-15,Segen Rishon
710863046,302381,Sergei,2017-01-29,Rav Seren
757831120,766483,Kathi,2014-07-30,Turai
134922863,720963,Will,2001-04-04,Turai Rishon
550520513,547285,Dacia,1988-12-08,Rav Aluf
85028704,72311,Dell,2016-12-05,Rav Samal Mitkadem
447557317,375080,Thibaut,1989-05-08,Rav Samal
840760549,7195,Thorndike,2020-09-07,Samal Rishon
328542395,986983,Viva,1988-02-26,Segen
394905067,294263,Kariotta,1987-11-29,Aluf Mishne
645872936,97419,Ted,1999-08-25,Segen Rishon
39531209,388819,Cherri,2000-08-20,Rav Turai
925497353,208689,Peyter,2015-11-05,Sgan Aluf
424362430,382847,Dickie,2017-08-25,Rav Samal Mitkadem
599480717,586713,Hetti,1998-02-22,Segen Mishneh
355397965,88330,Aura,1991-07-03,Rav Aluf
277930044,206990,Mirilla,2004-10-19,Segen Mishneh
99955694,499085,Eloise,1989-06-11,Turai Rishon
30528986,413022,Pace,2000-02-22,Segen Rishon
200459920,502935,Inglis,2000-02-22,Segen
746625953,970976,Kellina,2013-10-16,Samal
473019481,111329,Jammal,1996-10-03,Rav Samal Mitkadem
675821836,957479,Lisette,1996-01-20,Seren
358145036,896399,Ado,2019-07-20,Aluf
270862332,291395,Colas,1994-07-27,Turai Rishon
464423876,712732,Meier,2003-11-10,Segen Mishneh
8985748,431377,Jany,1987-01-11,Samal
436705936,260219,Jarid,1995-03-23,Rav Samal
174066999,575008,Randell,2001-08-09,Rav Aluf
428357864,804157,Caria,1998-07-27,Segen Rishon
589450929,116453,Lars,2003-02-17,Segen Rishon
399386615,533511,Felipa,2005-04-07,Segen Mishneh
71681340,875743,Desi,1981-07-18,Rav Samal
667276251,162359,Oralle,2013-03-02,Segen
250490156,671820,Jeremy,1989-02-13,Tat Aluf
274935545,883586,Conni,1986-11-23,Segen Mishneh
614939515,842554,Dana,2022-07-25,Tat Aluf
695693194,896988,Oneida,2006-11-01,Aluf
814634122,737636,Briant,1987-10-12,Sgan Aluf
83974239,847938,Jacquelin,2005-08-07,Samal Rishon
267524998,882348,Caren,1987-07-23,Rav Samal Rishon
395765837,829774,Rosalind,2017-01-20,Seren
683655938,882986,Zeb,1981-08-25,Rav Samal Mitkadem
263682528,817326,Bibbie,2018-03-07,Sgan Aluf
877493083,359672,Hayward,2011-06-05,Turai Rishon
763624579,411027,Sondra,1994-05-19,Rav Aluf
908008170,80491,Ugo,1984-10-17,Segen Mishneh
163740492,124329,Nat,2014-05-16,Aluf Mishne
260844930,882390,Issy,1994-05-01,Rav Samal Mitkadem
638293740,3158,Lavena,2011-09-21,Aluf Mishne
164819374,765857,Judy,2015-04-08,Samal
751355721,994563,Fairleigh,2013-11-19,Segen
373166837,997418,Bancroft,2006-10-21,Turai
615724933,323879,Indira,2002-09-12,Sgan Aluf
400189130,144998,Barnabe,1986-05-13,Rav Samal
140544361,757795,Crissy,2000-06-03,Aluf Mishne
5489449,397999,Estel,1992-07-20,Segen Mishneh
146679209,847575,Melicent,1990-12-18,Segen Mishneh
425588262,378728,Taylor,2015-06-09,Rav Seren
808733085,61970,Benito,1982-12-27,Sgan Aluf
656976380,636777,Barron,1993-09-24,Seren
414977157,835604,Phillie,1988-02-05,Aluf Mishne
734254038,555176,Kearney,2019-03-30,Seren
727792601,87628,Moshe,2011-10-31,Aluf Mishne
537471,630293,Babara,2017-05-26,Sgan Aluf
165315389,376229,Andras,2013-04-13,Rav Samal
70197134,971294,Zabrina,2001-06-02,Rav Turai
348688553,154646,Robin,1992-01-09,Samal Rishon
745499034,338323,Farlie,2023-02-11,Turai
748046109,905363,Milicent,1988-12-30,Segen
622509736,89538,Rab,1983-07-10,Rav Samal Rishon
951207632,271580,Ara,1990-04-06,Segen Rishon
52498515,922949,Becky,1984-12-31,Rav Turai
683925016,421918,Shari,1991-05-18,Rav Samal
965577538,90327,Cherri,1983-11-23,Segen
728995488,483729,Edgard,2016-08-31,Segen Mishneh
239422553,749797,Cully,2023-05-08,Segen Mishneh
15875044,500654,Gabriele,1987-10-12,Segen
664342430,864253,Juliann,2014-09-18,Seren
712536246,893538,Kelbee,2003-02-18,Segen
163297817,850387,Nickey,1993-03-30,Rav Samal Rishon
829994890,800341,Jasmin,2011-02-25,Segen
240868549,514016,Shantee,2008-12-21,Segen
393885274,977283,Hyatt,1982-05-14,Samal Rishon
587921128,559475,Mandie,2003-11-03,Segen Rishon
311112051,486056,Trudie,2004-07-24,Rav Samal
82734791,913831,Morganne,2003-01-24,Segen
375090682,954209,Cariotta,2004-04-11,Tat Aluf
437092221,352463,Amalea,1987-10-08,Tat Aluf
556881257,822800,Nicky,1985-02-17,Rav Samal
97550001,108430,Jandy,2003-02-11,Rav Turai
639291131,954639,Clem,1986-04-12,Segen
147034524,442683,Sisely,2002-07-10,Rav Samal
901198384,404749,Lazar,2009-10-04,Seren
410928055,107498,Gerek,1991-09-18,Rav Samal Rishon
783584123,144044,Terencio,1989-12-31,Rav Turai
674464517,229740,Rodney,2012-11-04,Rav Samal
760964428,927124,Yale,2013-07-27,Samal Rishon
265033501,188724,Helenka,2014-03-02,Rav Samal
570499077,209999,Pearce,1983-04-20,Tat Aluf
149420823,946345,Lynn,2002-05-22,Rav Aluf
902999774,81881,Ximenes,2019-07-12,Rav Aluf
827737802,949009,Sylvan,2003-11-21,Segen Rishon
336805392,354637,Jena,2009-12-01,Sgan Aluf
255650723,47748,Oliver,2017-06-08,Rav Samal
400868149,374306,Lissa,2013-02-17,Segen Rishon
529008738,342437,Janela,1983-11-25,Rav Seren
32746142,954227,Barris,1997-04-04,Samal Rishon
388967420,674178,Rochester,2001-08-11,Aluf Mishne
897575403,573806,Perry,2021-12-05,Sgan Aluf
484993111,103765,Jareb,1980-03-17,Segen
798765497,500695,Lauretta,1982-04-07,Segen Rishon
177565429,683370,Garnette,2000-06-01,Samal Rishon
668892090,749455,Dredi,2021-04-04,Segen Mishneh
506348064,85259,Hannah,2010-05-19,Rav Samal Mitkadem
587892471,308985,Maurizia,2017-04-29,Rav Samal Rishon
149975633,336619,Shane,2013-06-27,Samal
576503961,197518,Luisa,1986-03-02,Seren
961390047,677044,Ethel,1994-04-21,Rav Turai
62379380,599732,Steve,1984-09-10,Samal Rishon
374084896,750844,Petunia,1991-05-22,Segen Mishneh
354242777,611714,Jennica,2004-05-10,Rav Turai
597514278,957145,Marianne,2006-02-14,Rav Aluf
603739842,494941,Cosetta,1991-06-14,Rav Seren
472354570,907068,Jecho,1983-05-24,Aluf
719300252,134122,Shel,2008-12-05,Turai
744686974,692034,Rance,2003-05-15,Rav Turai
664904645,945744,Yolande,1993-02-14,Aluf
351119461,800026,Tony,1987-01-13,Rav Samal Rishon
153743714,961308,Holly-anne,1981-05-01,Samal Rishon
781478541,818023,Faun,1993-06-08,Rav Samal
124236762,574520,Rhoda,2022-06-24,Rav Turai
117637234,653581,Elwyn,2021-06-01,Rav Turai
255313969,319029,Gracie,2010-05-02,Turai
579495883,121259,Travers,2001-01-19,Samal
509186975,993821,Sheridan,1994-03-23,Rav Samal Mitkadem
815317151,378123,Papageno,2007-10-08,Tat Aluf
224153697,625636,Loralie,1999-12-29,Aluf Mishne
549552636,400920,Boycie,1994-02-13,Turai
568695140,388598,Ramon,1988-08-11,Seren
177021868,561141,Marinna,1987-10-16,Segen Mishneh
408348291,60589,Ximenez,2017-09-17,Rav Samal Mitkadem
65389094,757164,Anastasia,1992-01-23,Samal
800241401,916061,Odessa,2010-08-12,Tat Aluf
133225637,85569,Kerry,1995-12-16,Segen
554172508,449930,Eve,2016-02-16,Turai Rishon
547012693,776823,Vachel,1996-08-30,Sgan Aluf
652359388,859460,Devan,2009-09-26,Turai Rishon
792383619,153779,Genny,1992-08-02,Segen Mishneh
596600603,570882,Clarence,1999-10-07,Segen
59489611,535937,Aveline,2015-06-11,Rav Samal Mitkadem
106171803,636911,Simonette,1996-10-02,Segen Mishneh
759962148,415628,Meryl,2018-09-19,Rav Samal Mitkadem
710325046,106908,Hakim,1987-05-07,Rav Aluf
512953161,336884,Darnell,2003-04-16,Segen Rishon
546809789,688407,Suellen,1989-04-09,Turai Rishon
596057126,238362,Shari,1981-09-09,Seren
944987867,626334,Gunner,2014-12-09,Turai
470473923,911861,Talyah,1995-09-10,Segen Mishneh
451053085,672536,Nerissa,2018-07-09,Sgan Aluf
893866746,705822,Alonso,1986-01-31,Sgan Aluf
366389133,873248,Kandy,1984-04-30,Rav Aluf
973639105,961856,Carita,2011-03-19,Aluf
588319047,597985,Darlleen,2007-03-11,Rav Turai
603847885,645531,Alvie,1983-05-17,Aluf
804219893,913775,Gloriana,2014-10-31,Rav Samal Mitkadem
572588497,805214,Kelsey,1980-06-27,Seren
988601317,658356,Karna,2007-07-23,Turai
446063611,180254,Tarrah,1997-09-08,Rav Samal Rishon
805337368,995483,Maybelle,1985-10-09,Segen Rishon
978519037,186198,Jonell,2000-10-22,Rav Samal Mitkadem
798501887,608074,Alf,2014-09-05,Seren
550458823,30499,Fey,1991-05-15,Rav Seren
825739352,29777,Rudy,2016-08-17,Seren
611948480,949018,Blair,2004-04-15,Rav Samal Mitkadem
519611001,585296,Celestina,1994-05-20,Aluf
487913724,439381,Ennis,2019-09-27,Tat Aluf
3559427,113683,Babita,1992-09-17,Samal Rishon
737200868,227098,Charmian,2019-04-03,Rav Samal Mitkadem
477609634,494036,Aigneis,2000-06-11,Turai
787260560,284887,Hort,1988-08-07,Samal
572090388,620185,Fernandina,2010-12-23,Rav Samal Mitkadem
34384593,427904,Heida,1989-10-12,Samal Rishon
589728367,112586,Gabrielle,1985-10-29,Segen Mishneh
533702029,214569,Jeannine,2005-12-15,Aluf Mishne
76592836,43382,Bram,2009-02-01,Segen
49253606,772165,Euphemia,1988-12-26,Seren
780217178,556154,Aindrea,1989-06-02,Rav Seren
233690997,700012,Ertha,1985-04-12,Samal
560457180,953836,Borden,2021-09-03,Aluf
603182544,865,Sapphira,2002-05-13,Rav Samal
3568320,240581,Shantee,2010-09-12,Rav Samal Rishon
693674427,3691,Kathleen,1986-05-06,Rav Seren
58875248,998413,Cordelie,2017-12-16,Rav Samal Mitkadem
594100772,360481,Saree,1998-09-30,Seren
147049999,146387,Demetri,2014-06-15,Rav Turai
427521663,233296,Sibby,2019-05-01,Segen Rishon
491732575,349248,Patrick,1992-06-10,Seren
506221412,393670,Vin,2002-05-17,Turai Rishon
626347171,410762,Aleta,1999-05-04,Tat Aluf
543649717,449967,Elyn,1981-11-07,Rav Samal Rishon
501899535,187736,Ferdie,1991-06-27,Rav Samal
685009900,648092,Cordey,1996-03-06,Rav Samal Mitkadem
9750344,394796,Travus,2003-02-24,Seren
77624168,105047,Rip,2022-11-17,Turai
20742820,551505,Karly,2007-08-01,Samal
994812657,776381,Alasdair,2023-11-17,Tat Aluf
166977539,720227,Eliot,2001-09-12,Sgan Aluf
727004712,523958,Genni,2003-01-04,Samal Rishon
697150986,390841,Marlene,1995-12-26,Turai Rishon
308445258,18797,Winna,1997-10-20,Aluf Mishne
855586390,869986,Urban,1984-02-28,Segen Mishneh
695960687,689953,Gregg,1989-10-25,Samal Rishon
644427789,154825,Egor,1987-11-01,Rav Samal Mitkadem
90329559,799624,Barri,2020-12-22,Samal
775676071,64920,Rikki,2010-08-27,Turai Rishon
497885636,492718,Lucien,1981-10-09,Rav Seren
557416789,658690,Torrin,2000-06-20,Aluf Mishne
404780867,633624,Layton,1988-10-02,Segen
557584288,233447,Tresa,1986-01-07,Segen
117236664,833462,Nickola,2004-12-28,Rav Seren
476305335,377392,Mariam,2019-04-17,Rav Turai
36557042,141132,Sandy,1999-06-02,Rav Seren
869381600,303051,Devonne,2010-01-11,Rav Aluf
739693447,400368,Tremaine,1991-03-15,Segen Rishon
722415582,642698,Stan,2001-08-28,Rav Seren
98834617,144897,Ranice,1993-05-06,Turai
686520084,518571,Cyndie,2009-12-13,Segen Rishon
771626857,276107,Baron,1992-05-11,Rav Aluf
30470247,387510,Krissie,1996-07-14,Samal
177682741,152041,Leonardo,2010-06-16,Rav Turai
928290803,502697,Farica,1980-01-12,Segen
374273610,421616,Fanny,1993-02-04,Rav Samal Rishon
377244895,656447,Amalie,1988-06-16,Rav Turai
698719894,32135,Dael,1990-07-14,Segen Rishon
993883372,839,Linc,1994-05-25,Turai Rishon
232814851,906478,Oralle,2015-04-24,Rav Samal Rishon
330381310,18919,Maggee,1987-03-02,Segen Mishneh
298319988,407929,Rheba,1994-06-30,Rav Samal Mitkadem
758992323,827085,Kirstin,1992-10-08,Aluf Mishne
135231662,300942,Robinett,2023-11-10,Samal
321241789,106595,Phedra,1986-01-30,Segen Mishneh
202783445,416220,Moses,2008-02-27,Rav Seren
628600454,845954,Inness,1985-03-17,Tat Aluf
721293901,508435,Dorella,2010-04-28,Tat Aluf
576563496,85480,Shadow,2020-10-04,Aluf
435483177,632087,Boyd,1983-11-23,Aluf
857964382,473891,Alysia,2016-03-22,Rav Samal
3719936,744004,Claudina,2001-06-18,Segen Rishon
250713580,854698,Waylin,2000-01-03,Rav Aluf
290383382,773931,Marchall,2006-01-27,Rav Turai
79899163,689943,Cornie,1996-01-30,Seren
733217108,700190,Dallis,1994-08-27,Samal Rishon
862916677,829378,Bianca,1987-10-15,Samal
859228917,690603,Ailis,1983-05-28,Segen
471573222,943351,Patience,2013-09-04,Segen Rishon
617857020,995914,Annetta,1998-12-20,Rav Seren
68831150,833549,Liane,1993-01-19,Segen Mishneh
856928435,342798,Ame,1995-01-12,Aluf
682647633,178486,Danya,2010-12-09,Samal
464145195,477812,Ashia,1983-11-18,Samal
136157547,559811,Debora,1999-07-25,Rav Samal Rishon
662739749,974279,Ham,1985-07-21,Seren
473765382,127620,Krystalle,1982-07-02,Samal
906843751,448307,Adella,2005-02-17,Samal
283963005,939274,Gennifer,2006-05-30,Aluf
92057408,31036,Hatty,2010-07-02,Segen Rishon
630030334,960139,Erie,1998-02-18,Rav Samal
713326269,307340,Ester,2009-11-15,Rav Seren
265895682,711655,Hillyer,2002-11-06,Samal Rishon
71558043,455207,Carmine,1998-06-15,Samal
782517633,887179,Jeddy,1990-07-16,Seren
939716730,192166,Giselbert,2007-05-04,Rav Samal Rishon
543444956,433909,Kimbra,2006-07-04,Segen
801831686,219440,Gertrude,1999-12-20,Turai Rishon
821679082,632579,Tarah,2008-09-08,Aluf
757571536,997356,Skipton,2023-02-17,Rav Turai
110717978,253239,Coralyn,2008-10-25,Segen Mishneh
944593121,962416,Witty,2002-09-25,Rav Samal Mitkadem
567591573,907589,Christie,1982-01-25,Turai Rishon
520460997,431157,Ruggiero,2011-12-31,Segen Rishon
851802090,885090,Godfree,2020-08-10,Rav Samal
255310381,374536,Farand,2021-02-09,Tat Aluf
631119749,378119,Lilah,2013-05-28,Seren
952923472,733548,Karolina,2007-11-11,Rav Aluf
988666139,15714,Jdavie,2019-09-11,Rav Seren
735380075,780902,Ashil,1982-04-08,Rav Samal
968119630,510592,Jamal,1986-05-26,Samal Rishon
347580048,845459,Wolfie,1996-01-14,Rav Seren
574033117,406395,Fabian,1982-02-13,Aluf Mishne
694758482,197176,Kermie,1983-09-18,Turai Rishon
650566673,706559,Hi,1997-11-27,Aluf Mishne
612402527,390448,Ramsay,2006-12-27,Turai Rishon
634634560,271707,Juliana,2000-04-28,Samal
436514206,841970,Helena,2004-03-16,Samal
483890780,893857,Margarethe,2017-05-18,Segen Rishon
834318574,113406,Isabeau,2002-02-03,Rav Samal Mitkadem
778359024,912124,Caesar,1981-12-14,Rav Seren
320991254,21640,Garik,2023-03-07,Tat Aluf
50952234,665103,Ulrika,1982-07-01,Rav Samal
730507007,768790,Othello,2003-07-05,Aluf Mishne
569367284,269531,Liv,2021-10-10,Rav Seren
958874023,683854,Gertrud,1988-08-26,Rav Aluf
372399632,750717,Merrel,2000-09-17,Segen Mishneh
881550437,574023,Dudley,2019-02-16,Tat Aluf
171569151,549425,Philip,2018-02-22,Rav Samal Mitkadem
952138335,582668,Mattias,2009-08-16,Rav Seren
121432782,966661,Cointon,2006-06-29,Rav Samal Mitkadem
316595208,950634,Mitchael,1980-07-12,Segen Rishon
6704962,117540,Kaleena,1999-04-21,Rav Turai
484930729,259506,Tamiko,2022-12-08,Aluf Mishne
458417974,332942,Verina,2005-05-30,Rav Samal Rishon
217256349,272710,Silas,2005-07-28,Samal
721688496,724173,Lenard,2017-06-28,Samal Rishon
50055848,788983,Hector,1983-08-29,Turai
290559328,835615,Claudie,2012-12-11,Aluf
123456368,995574,Rodd,1990-09-18,Rav Aluf
268924335,361189,Finley,1987-05-06,Samal Rishon
946188340,588291,Gaven,1981-06-22,Segen Mishneh
139827450,177481,Rosemonde,2020-12-29,Sgan Aluf
114571110,131997,Elly,1990-05-15,Segen Mishneh
936696442,96779,Clarabelle,1990-05-23,Turai
233777116,726386,Eula,1997-11-22,Rav Aluf
804029926,20662,Clarissa,2021-02-02,Rav Samal
940034758,950542,Gennifer,2001-12-09,Seren
513140717,198593,Norean,2007-03-04,Aluf Mishne
585899415,166751,Bambi,1990-03-15,Segen
632371458,140548,Jocelyn,1984-01-29,Turai Rishon
214209410,695252,Alli,2009-05-09,Turai
623375199,747361,Mufinella,1989-05-18,Tat Aluf
596858560,833895,Cam,2022-10-14,Aluf Mishne
118475647,195289,Leeanne,2017-04-12,Tat Aluf
130945021,209908,Vinson,2014-12-08,Segen
90908276,586996,Merrel,2013-03-02,Turai Rishon
464944035,803038,Marketa,2004-08-23,Aluf Mishne
822002397,340409,Arluene,1999-07-09,Aluf Mishne
600178114,617713,Cyb,1992-05-02,Sgan Aluf
786332167,265735,Melinda,1992-09-01,Rav Seren
283200270,990284,Vincents,2015-01-27,Tat Aluf
332883077,153323,Kelcie,1992-03-01,Samal
876993532,375471,Noami,1985-07-08,Seren
910304063,879946,Helaina,2009-05-18,Samal Rishon
965238249,950934,Marijo,1982-06-30,Rav Turai
442075679,586428,Lorant,2010-06-19,Rav Aluf
617344527,969792,Andrea,2011-12-28,Rav Samal Rishon
568384995,770887,Kalie,1993-02-21,Rav Samal Rishon
904161703,572285,Jaquenette,2005-02-14,Aluf Mishne
992494804,168240,Goldie,1995-07-11,Rav Samal
173238993,154519,Alikee,2004-03-10,Rav Samal
38178459,908852,Godard,2022-10-17,Rav Turai
67209238,978845,Brigg,2020-04-13,Tat Aluf
850294879,367784,Alberto,2002-09-03,Aluf
895532177,276496,Felicia,1998-08-29,Sgan Aluf
994893233,519535,Nike,2000-05-13,Turai Rishon
566843828,417508,Shandra,2020-06-18,Rav Samal
369296479,300874,Aldo,1998-09-03,Rav Aluf
391203824,76163,Amye,2001-02-05,Samal
723951031,813977,Saxon,2011-04-25,Turai
218477177,233560,Brendan,1990-09-03,Segen
442774733,725019,Joyann,2022-12-27,Tat Aluf
312125671,345360,Stirling,2008-08-21,Turai Rishon
672039858,329437,Clyde,1980-03-11,Rav Seren
168559157,205177,Rabi,2004-06-05,Rav Aluf
870770849,782796,Neysa,1981-07-31,Segen Mishneh
191220474,11086,Eva,2000-06-06,Rav Aluf
19126397,384078,Dixie,1998-11-15,Sgan Aluf
440780791,673024,Fiorenze,2001-05-12,Rav Samal Mitkadem
83938648,441774,Aloysia,1996-08-06,Rav Samal Mitkadem
721207030,273979,Shell,2012-12-20,Segen
555621587,718813,Trevor,1993-04-08,Samal Rishon
533247878,763862,Codie,1999-08-06,Rav Samal
191421024,37815,Amalle,2002-04-14,Turai
695145415,784408,Mayor,1999-07-12,Samal
745802224,714021,Seymour,1999-11-19,Rav Aluf
268587294,642656,Gerianne,1988-06-05,Aluf
259237484,371016,Ezri,2015-05-05,Rav Samal Rishon
794740915,74471,Willette,1993-04-10,Sgan Aluf
847664668,522382,Jaimie,1985-11-07,Rav Samal Mitkadem
709984281,69747,Petronille,2013-01-05,Samal Rishon
958585013,692058,Stephanus,2017-07-19,Segen Rishon
748921375,816914,Tatiania,1988-01-06,Rav Samal Mitkadem
38798354,608779,Dur,2018-02-28,Seren
325918036,737031,Sollie,1992-06-25,Aluf
302062965,128236,Esme,2009-12-18,Rav Samal
857352932,887680,Nerissa,2006-03-07,Rav Turai
95262614,95311,Carolan,1991-06-29,Rav Samal Mitkadem
167243349,293849,Janetta,2023-04-18,Rav Turai
818482275,704389,Thorstein,2000-05-02,Aluf Mishne
38592280,166268,Giselbert,2011-08-21,Rav Samal Mitkadem
564812834,477207,Steffen,1998-04-14,Turai Rishon
851582243,755730,Scotty,1985-03-30,Segen Rishon
356743418,927136,Kimberly,2012-11-16,Aluf
824770592,707985,Lyndell,2000-10-26,Samal
418566213,479327,Sim,2015-01-31,Rav Samal
122111158,949711,Ronnie,2020-06-03,Turai
399986563,944476,Marthena,1989-02-07,Rav Seren
43255428,997978,Darryl,2007-12-22,Seren
316989998,156972,Tara,1995-09-05,Segen Mishneh
456163603,791681,Andromache,1991-09-13,Tat Aluf
418391172,457412,Vi,2011-01-09,Aluf Mishne
515308808,265999,Verna,1994-11-28,Segen Rishon
931646941,772586,Danice,2004-02-04,Turai
751739285,44627,Giacobo,1986-10-29,Tat Aluf
398845416,490687,Dory,2013-08-16,Rav Samal
519517451,558433,Hervey,2020-03-21,Rav Samal Mitkadem
417173576,416846,Ann-marie,1995-01-03,Segen
574721191,149326,Ryley,2003-08-31,Aluf
63509954,186401,Baxie,2022-08-17,Turai
812311067,354937,Donica,2000-08-26,Rav Turai
552180743,196963,Kasper,2014-05-24,Rav Samal
